Country,Year,Series,Value
Costa Rica,2015,Primary energy production (petajoules),110
Costa Rica,1990,Net imports [Imports - Exports - Bunkers] (petajoules),40
Costa Rica,1995,Net imports [Imports - Exports - Bunkers] (petajoules),65
Costa Rica,2000,Net imports [Imports - Exports - Bunkers] (petajoules),70
Costa Rica,2005,Net imports [Imports - Exports - Bunkers] (petajoules),85
Costa Rica,2010,Net imports [Imports - Exports - Bunkers] (petajoules),99
Costa Rica,2013,Net imports [Imports - Exports - Bunkers] (petajoules),97
Costa Rica,2014,Net imports [Imports - Exports - Bunkers] (petajoules),103
Costa Rica,2015,Net imports [Imports - Exports - Bunkers] (petajoules),97
Costa Rica,1990,Changes in stocks (petajoules),1
Costa Rica,1995,Changes in stocks (petajoules),0
Costa Rica,2000,Changes in stocks (petajoules),-1
Costa Rica,2005,Changes in stocks (petajoules),0
Costa Rica,2010,Changes in stocks (petajoules),0
Costa Rica,2013,Changes in stocks (petajoules),-2
Costa Rica,2014,Changes in stocks (petajoules),1
Costa Rica,2015,Changes in stocks (petajoules),0
Costa Rica,1990,Total supply (petajoules),68
Costa Rica,1995,Total supply (petajoules),110
Costa Rica,2000,Total supply (petajoules),137
Costa Rica,2005,Total supply (petajoules),177
Costa Rica,2010,Total supply (petajoules),203
Costa Rica,2013,Total supply (petajoules),210
Costa Rica,2014,Total supply (petajoules),213
Costa Rica,2015,Total supply (petajoules),207
Costa Rica,1990,Supply per capita (gigajoules),22
Costa Rica,1995,Supply per capita (gigajoules),32
Costa Rica,2000,Supply per capita (gigajoules),35
Costa Rica,2005,Supply per capita (gigajoules),41
Costa Rica,2010,Supply per capita (gigajoules),45
Costa Rica,2013,Supply per capita (gigajoules),45
Costa Rica,2014,Supply per capita (gigajoules),45
Costa Rica,2015,Supply per capita (gigajoules),43
C?te d?Ivoire,1990,Primary energy production (petajoules),179
C?te d?Ivoire,1995,Primary energy production (petajoules),178
C?te d?Ivoire,2000,Primary energy production (petajoules),242
C?te d?Ivoire,2005,Primary energy production (petajoules),451
C?te d?Ivoire,2010,Primary energy production (petajoules),467
C?te d?Ivoire,2013,Primary energy production (petajoules),540
C?te d?Ivoire,2014,Primary energy production (petajoules),540
C?te d?Ivoire,2015,Primary energy production (petajoules),526
C?te d?Ivoire,1990,Net imports [Imports - Exports - Bunkers] (petajoules),26
C?te d?Ivoire,1995,Net imports [Imports - Exports - Bunkers] (petajoules),68
C?te d?Ivoire,2000,Net imports [Imports - Exports - Bunkers] (petajoules),28
C?te d?Ivoire,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-27
C?te d?Ivoire,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-40
C?te d?Ivoire,2013,Net imports [Imports - Exports - Bunkers] (petajoules),24
C?te d?Ivoire,2014,Net imports [Imports - Exports - Bunkers] (petajoules),38
C?te d?Ivoire,2015,Net imports [Imports - Exports - Bunkers] (petajoules),10
C?te d?Ivoire,1990,Changes in stocks (petajoules),1
C?te d?Ivoire,1995,Changes in stocks (petajoules),0
C?te d?Ivoire,2000,Changes in stocks (petajoules),-8
C?te d?Ivoire,2005,Changes in stocks (petajoules),5
C?te d?Ivoire,2010,Changes in stocks (petajoules),3
C?te d?Ivoire,2013,Changes in stocks (petajoules),-2
C?te d?Ivoire,2014,Changes in stocks (petajoules),-3
C?te d?Ivoire,2015,Changes in stocks (petajoules),-6
C?te d?Ivoire,1990,Total supply (petajoules),204
C?te d?Ivoire,1995,Total supply (petajoules),245
C?te d?Ivoire,2000,Total supply (petajoules),278
C?te d?Ivoire,2005,Total supply (petajoules),418
C?te d?Ivoire,2010,Total supply (petajoules),425
C?te d?Ivoire,2013,Total supply (petajoules),566
C?te d?Ivoire,2014,Total supply (petajoules),580
C?te d?Ivoire,2015,Total supply (petajoules),543
C?te d?Ivoire,1990,Supply per capita (gigajoules),16
C?te d?Ivoire,1995,Supply per capita (gigajoules),17
C?te d?Ivoire,2000,Supply per capita (gigajoules),17
C?te d?Ivoire,2005,Supply per capita (gigajoules),23
C?te d?Ivoire,2010,Supply per capita (gigajoules),21
C?te d?Ivoire,2013,Supply per capita (gigajoules),26
C?te d?Ivoire,2014,Supply per capita (gigajoules),26
C?te d?Ivoire,2015,Supply per capita (gigajoules),24
Croatia,1995,Primary energy production (petajoules),209
Croatia,2000,Primary energy production (petajoules),178
Croatia,2005,Primary energy production (petajoules),199
Croatia,2010,Primary energy production (petajoules),215
Croatia,2013,Primary energy production (petajoules),186
Croatia,2014,Primary energy production (petajoules),182
Croatia,2015,Primary energy production (petajoules),184
Croatia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),115
Croatia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),166
Croatia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),212
Croatia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),180
Croatia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),164
Croatia,2014,Net imports [Imports - Exports - Bunkers] (petajoules),146
Croatia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),168
Croatia,1995,Changes in stocks (petajoules),-2
Croatia,2000,Changes in stocks (petajoules),-4
Croatia,2005,Changes in stocks (petajoules),4
Croatia,2010,Changes in stocks (petajoules),5
Croatia,2013,Changes in stocks (petajoules),-2
Croatia,2014,Changes in stocks (petajoules),-8
Croatia,2015,Changes in stocks (petajoules),2
Croatia,1995,Total supply (petajoules),325
Croatia,2000,Total supply (petajoules),349
Croatia,2005,Total supply (petajoules),407
Croatia,2010,Total supply (petajoules),390
Croatia,2013,Total supply (petajoules),352
Croatia,2014,Total supply (petajoules),335
Croatia,2015,Total supply (petajoules),350
Croatia,1995,Supply per capita (gigajoules),70
Croatia,2000,Supply per capita (gigajoules),77
Croatia,2005,Supply per capita (gigajoules),92
Croatia,2010,Supply per capita (gigajoules),90
Croatia,2013,Supply per capita (gigajoules),82
Croatia,2014,Supply per capita (gigajoules),79
Croatia,2015,Supply per capita (gigajoules),83
Cuba,1990,Primary energy production (petajoules),213
Cuba,1995,Primary energy production (petajoules),170
Cuba,2000,Primary energy production (petajoules),241
Cuba,2005,Primary energy production (petajoules),205
Cuba,2010,Primary energy production (petajoules),200
Cuba,2013,Primary energy production (petajoules),202
Cuba,2014,Primary energy production (petajoules),212
Cuba,2015,Primary energy production (petajoules),212
Cuba,1990,Net imports [Imports - Exports - Bunkers] (petajoules),404
Cuba,1995,Net imports [Imports - Exports - Bunkers] (petajoules),286
Cuba,2000,Net imports [Imports - Exports - Bunkers] (petajoules),232
Cuba,2005,Net imports [Imports - Exports - Bunkers] (petajoules),207
Cuba,2010,Net imports [Imports - Exports - Bunkers] (petajoules),301
Cuba,2013,Net imports [Imports - Exports - Bunkers] (petajoules),250
Cuba,2014,Net imports [Imports - Exports - Bunkers] (petajoules),243
Cuba,2015,Net imports [Imports - Exports - Bunkers] (petajoules),268
Cuba,1990,Changes in stocks (petajoules),-5
Cuba,1995,Changes in stocks (petajoules),4
Cuba,2000,Changes in stocks (petajoules),10
Cuba,1990,Total supply (petajoules),623
Cuba,1995,Total supply (petajoules),452
Cuba,2000,Total supply (petajoules),462
Cuba,2005,Total supply (petajoules),412
Cuba,2010,Total supply (petajoules),501
Cuba,2013,Total supply (petajoules),451
Cuba,2014,Total supply (petajoules),454
Cuba,2015,Total supply (petajoules),480
Cuba,1990,Supply per capita (gigajoules),59
Cuba,1995,Supply per capita (gigajoules),41
Cuba,2000,Supply per capita (gigajoules),42
Cuba,2005,Supply per capita (gigajoules),37
Cuba,2010,Supply per capita (gigajoules),44
Cuba,2013,Supply per capita (gigajoules),40
Cuba,2014,Supply per capita (gigajoules),40
Cuba,2015,Supply per capita (gigajoules),42
Cura?ao,2013,Primary energy production (petajoules),0
Cura?ao,2014,Primary energy production (petajoules),0
Cura?ao,2015,Primary energy production (petajoules),0
Cura?ao,2013,Net imports [Imports - Exports - Bunkers] (petajoules),77
Cura?ao,2014,Net imports [Imports - Exports - Bunkers] (petajoules),85
Cura?ao,2015,Net imports [Imports - Exports - Bunkers] (petajoules),93
Cura?ao,2013,Total supply (petajoules),77
Cura?ao,2014,Total supply (petajoules),85
Cura?ao,2015,Total supply (petajoules),93
Cura?ao,2013,Supply per capita (gigajoules),499
Cura?ao,2014,Supply per capita (gigajoules),545
Cura?ao,2015,Supply per capita (gigajoules),592
Cyprus,1990,Primary energy production (petajoules),0
Cyprus,1995,Primary energy production (petajoules),0
Cyprus,2000,Primary energy production (petajoules),0
Cyprus,2005,Primary energy production (petajoules),0
Cyprus,2010,Primary energy production (petajoules),4
Cyprus,2013,Primary energy production (petajoules),5
Cyprus,2014,Primary energy production (petajoules),5
Cyprus,2015,Primary energy production (petajoules),5
Cyprus,1990,Net imports [Imports - Exports - Bunkers] (petajoules),57
Cyprus,1995,Net imports [Imports - Exports - Bunkers] (petajoules),72
Cyprus,2000,Net imports [Imports - Exports - Bunkers] (petajoules),88
Cyprus,2005,Net imports [Imports - Exports - Bunkers] (petajoules),94
Cyprus,2010,Net imports [Imports - Exports - Bunkers] (petajoules),104
Cyprus,2013,Net imports [Imports - Exports - Bunkers] (petajoules),78
Cyprus,2014,Net imports [Imports - Exports - Bunkers] (petajoules),76
Cyprus,2015,Net imports [Imports - Exports - Bunkers] (petajoules),83
Cyprus,1990,Changes in stocks (petajoules),-1
Cyprus,1995,Changes in stocks (petajoules),2
Cyprus,2000,Changes in stocks (petajoules),0
Cyprus,2005,Changes in stocks (petajoules),3
Cyprus,2010,Changes in stocks (petajoules),5
Cyprus,2013,Changes in stocks (petajoules),1
Cyprus,2014,Changes in stocks (petajoules),-2
Cyprus,2015,Changes in stocks (petajoules),3
Cyprus,1990,Total supply (petajoules),57
Cyprus,1995,Total supply (petajoules),70
Cyprus,2000,Total supply (petajoules),88
Cyprus,2005,Total supply (petajoules),92
Cyprus,2010,Total supply (petajoules),103
Cyprus,2013,Total supply (petajoules),82
Cyprus,2014,Total supply (petajoules),83
Cyprus,2015,Total supply (petajoules),85
Cyprus,1990,Supply per capita (gigajoules),75
Cyprus,1995,Supply per capita (gigajoules),82
Cyprus,2000,Supply per capita (gigajoules),93
Cyprus,2005,Supply per capita (gigajoules),89
Cyprus,2010,Supply per capita (gigajoules),94
Cyprus,2013,Supply per capita (gigajoules),71
Cyprus,2014,Supply per capita (gigajoules),72
Cyprus,2015,Supply per capita (gigajoules),73
Czechia,1995,Primary energy production (petajoules),1367
Czechia,2000,Primary energy production (petajoules),1289
Czechia,2005,Primary energy production (petajoules),1387
Czechia,2010,Primary energy production (petajoules),1339
Czechia,2013,Primary energy production (petajoules),1277
Czechia,2014,Primary energy production (petajoules),1245
Czechia,2015,Primary energy production (petajoules),1213
Czechia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),367
Czechia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),411
Czechia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),527
Czechia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),476
Czechia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),489
Czechia,2014,Net imports [Imports - Exports - Bunkers] (petajoules),527
Czechia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),555
Czechia,1995,Changes in stocks (petajoules),-30
Czechia,2000,Changes in stocks (petajoules),-49
Czechia,2005,Changes in stocks (petajoules),16
Czechia,2010,Changes in stocks (petajoules),-77
Czechia,2013,Changes in stocks (petajoules),-41
Czechia,2014,Changes in stocks (petajoules),13
Czechia,2015,Changes in stocks (petajoules),4
Czechia,1995,Total supply (petajoules),1764
Czechia,2000,Total supply (petajoules),1748
Czechia,2005,Total supply (petajoules),1898
Czechia,2010,Total supply (petajoules),1891
Czechia,2013,Total supply (petajoules),1807
Czechia,2014,Total supply (petajoules),1758
Czechia,2015,Total supply (petajoules),1764
Czechia,1995,Supply per capita (gigajoules),171
Czechia,2000,Supply per capita (gigajoules),171
Czechia,2005,Supply per capita (gigajoules),186
Czechia,2010,Supply per capita (gigajoules),180
Czechia,2013,Supply per capita (gigajoules),171
Czechia,2014,Supply per capita (gigajoules),167
Czechia,2015,Supply per capita (gigajoules),167
Dem. People's Rep. Korea,1990,Primary energy production (petajoules),1211
Dem. People's Rep. Korea,1995,Primary energy production (petajoules),838
Dem. People's Rep. Korea,2000,Primary energy production (petajoules),787
Dem. People's Rep. Korea,2005,Primary energy production (petajoules),923
Dem. People's Rep. Korea,2010,Primary energy production (petajoules),872
Dem. People's Rep. Korea,2013,Primary energy production (petajoules),853
Dem. People's Rep. Korea,2014,Primary energy production (petajoules),871
Dem. People's Rep. Korea,2015,Primary energy production (petajoules),788
Dem. People's Rep. Korea,1990,Net imports [Imports - Exports - Bunkers] (petajoules),181
Dem. People's Rep. Korea,1995,Net imports [Imports - Exports - Bunkers] (petajoules),83
Dem. People's Rep. Korea,2000,Net imports [Imports - Exports - Bunkers] (petajoules),41
Dem. People's Rep. Korea,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-28
Dem. People's Rep. Korea,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-77
Dem. People's Rep. Korea,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-395
Dem. People's Rep. Korea,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-367
Dem. People's Rep. Korea,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-457
Dem. People's Rep. Korea,2000,Changes in stocks (petajoules),2
Dem. People's Rep. Korea,1990,Total supply (petajoules),1391
Dem. People's Rep. Korea,1995,Total supply (petajoules),921
Dem. People's Rep. Korea,2000,Total supply (petajoules),826
Dem. People's Rep. Korea,2005,Total supply (petajoules),896
Dem. People's Rep. Korea,2010,Total supply (petajoules),795
Dem. People's Rep. Korea,2013,Total supply (petajoules),459
Dem. People's Rep. Korea,2014,Total supply (petajoules),505
Dem. People's Rep. Korea,2015,Total supply (petajoules),332
Dem. People's Rep. Korea,1990,Supply per capita (gigajoules),69
Dem. People's Rep. Korea,1995,Supply per capita (gigajoules),42
Dem. People's Rep. Korea,2000,Supply per capita (gigajoules),36
Dem. People's Rep. Korea,2005,Supply per capita (gigajoules),38
Dem. People's Rep. Korea,2010,Supply per capita (gigajoules),32
Dem. People's Rep. Korea,2013,Supply per capita (gigajoules),18
Dem. People's Rep. Korea,2014,Supply per capita (gigajoules),20
Dem. People's Rep. Korea,2015,Supply per capita (gigajoules),13
Dem. Rep. of the Congo,1990,Primary energy production (petajoules),490
Dem. Rep. of the Congo,1995,Primary energy production (petajoules),616
Dem. Rep. of the Congo,2000,Primary energy production (petajoules),677
Dem. Rep. of the Congo,2005,Primary energy production (petajoules),866
Dem. Rep. of the Congo,2010,Primary energy production (petajoules),855
Dem. Rep. of the Congo,2013,Primary energy production (petajoules),1149
Dem. Rep. of the Congo,2014,Primary energy production (petajoules),1179
Dem. Rep. of the Congo,2015,Primary energy production (petajoules),1218
Dem. Rep. of the Congo,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-13
Dem. Rep. of the Congo,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-33
Dem. Rep. of the Congo,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-43
Dem. Rep. of the Congo,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-41
Dem. Rep. of the Congo,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-24
Dem. Rep. of the Congo,2013,Net imports [Imports - Exports - Bunkers] (petajoules),2
Dem. Rep. of the Congo,2014,Net imports [Imports - Exports - Bunkers] (petajoules),23
Dem. Rep. of the Congo,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-8
Dem. Rep. of the Congo,1990,Changes in stocks (petajoules),0
Dem. Rep. of the Congo,1995,Changes in stocks (petajoules),0
Dem. Rep. of the Congo,2000,Changes in stocks (petajoules),-1
Dem. Rep. of the Congo,2005,Changes in stocks (petajoules),0
Dem. Rep. of the Congo,2010,Changes in stocks (petajoules),0
Dem. Rep. of the Congo,1990,Total supply (petajoules),477
Dem. Rep. of the Congo,1995,Total supply (petajoules),584
Dem. Rep. of the Congo,2000,Total supply (petajoules),635
Dem. Rep. of the Congo,2005,Total supply (petajoules),825
Dem. Rep. of the Congo,2010,Total supply (petajoules),831
Dem. Rep. of the Congo,2013,Total supply (petajoules),1151
Dem. Rep. of the Congo,2014,Total supply (petajoules),1202
Dem. Rep. of the Congo,2015,Total supply (petajoules),1209
Dem. Rep. of the Congo,1990,Supply per capita (gigajoules),13
Dem. Rep. of the Congo,1995,Supply per capita (gigajoules),13
Dem. Rep. of the Congo,2000,Supply per capita (gigajoules),13
Dem. Rep. of the Congo,2005,Supply per capita (gigajoules),14
Dem. Rep. of the Congo,2010,Supply per capita (gigajoules),13
Dem. Rep. of the Congo,2013,Supply per capita (gigajoules),16
Dem. Rep. of the Congo,2014,Supply per capita (gigajoules),16
Dem. Rep. of the Congo,2015,Supply per capita (gigajoules),16
Denmark,1990,Primary energy production (petajoules),420
Denmark,1995,Primary energy production (petajoules),649
Denmark,2000,Primary energy production (petajoules),1149
Denmark,2005,Primary energy production (petajoules),1298
Denmark,2010,Primary energy production (petajoules),968
Denmark,2013,Primary energy production (petajoules),690
Denmark,2014,Primary energy production (petajoules),664
Denmark,2015,Primary energy production (petajoules),662
Denmark,1990,Net imports [Imports - Exports - Bunkers] (petajoules),298
Denmark,1995,Net imports [Imports - Exports - Bunkers] (petajoules),217
Denmark,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-383
Denmark,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-498
Denmark,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-204
Denmark,2013,Net imports [Imports - Exports - Bunkers] (petajoules),33
Denmark,2014,Net imports [Imports - Exports - Bunkers] (petajoules),21
Denmark,2015,Net imports [Imports - Exports - Bunkers] (petajoules),28
Denmark,1990,Changes in stocks (petajoules),-7
Denmark,1995,Changes in stocks (petajoules),57
Denmark,2000,Changes in stocks (petajoules),-19
Denmark,2005,Changes in stocks (petajoules),14
Denmark,2010,Changes in stocks (petajoules),-45
Denmark,2013,Changes in stocks (petajoules),10
Denmark,2014,Changes in stocks (petajoules),15
Denmark,2015,Changes in stocks (petajoules),21
Denmark,1990,Total supply (petajoules),725
Denmark,1995,Total supply (petajoules),811
Denmark,2000,Total supply (petajoules),785
Denmark,2005,Total supply (petajoules),786
Denmark,2010,Total supply (petajoules),810
Denmark,2013,Total supply (petajoules),713
Denmark,2014,Total supply (petajoules),669
Denmark,2015,Total supply (petajoules),668
Denmark,1990,Supply per capita (gigajoules),141
Denmark,1995,Supply per capita (gigajoules),155
Denmark,2000,Supply per capita (gigajoules),147
Denmark,2005,Supply per capita (gigajoules),145
Denmark,2010,Supply per capita (gigajoules),146
Denmark,2013,Supply per capita (gigajoules),127
Denmark,2014,Supply per capita (gigajoules),118
Denmark,2015,Supply per capita (gigajoules),118
Djibouti,1990,Primary energy production (petajoules),2
Djibouti,1995,Primary energy production (petajoules),2
Djibouti,2000,Primary energy production (petajoules),3
Djibouti,2005,Primary energy production (petajoules),3
Djibouti,2010,Primary energy production (petajoules),3
Djibouti,2013,Primary energy production (petajoules),3
Djibouti,2014,Primary energy production (petajoules),3
Djibouti,2015,Primary energy production (petajoules),4
Djibouti,1990,Net imports [Imports - Exports - Bunkers] (petajoules),5
Djibouti,1995,Net imports [Imports - Exports - Bunkers] (petajoules),5
Djibouti,2000,Net imports [Imports - Exports - Bunkers] (petajoules),5
Djibouti,2005,Net imports [Imports - Exports - Bunkers] (petajoules),6
Djibouti,2010,Net imports [Imports - Exports - Bunkers] (petajoules),7
Djibouti,2013,Net imports [Imports - Exports - Bunkers] (petajoules),7
Djibouti,2014,Net imports [Imports - Exports - Bunkers] (petajoules),7
Djibouti,2015,Net imports [Imports - Exports - Bunkers] (petajoules),7
Djibouti,1990,Changes in stocks (petajoules),0
Djibouti,2010,Changes in stocks (petajoules),0
Djibouti,1990,Total supply (petajoules),6
Djibouti,1995,Total supply (petajoules),7
Djibouti,2000,Total supply (petajoules),8
Djibouti,2005,Total supply (petajoules),9
Djibouti,2010,Total supply (petajoules),11
Djibouti,2013,Total supply (petajoules),11
Djibouti,2014,Total supply (petajoules),11
Djibouti,2015,Total supply (petajoules),10
Djibouti,1990,Supply per capita (gigajoules),12
Djibouti,1995,Supply per capita (gigajoules),11
Djibouti,2000,Supply per capita (gigajoules),11
Djibouti,2005,Supply per capita (gigajoules),11
Djibouti,2010,Supply per capita (gigajoules),13
Djibouti,2013,Supply per capita (gigajoules),13
Djibouti,2014,Supply per capita (gigajoules),13
Djibouti,2015,Supply per capita (gigajoules),11
Dominica,1990,Primary energy production (petajoules),0
Dominica,1995,Primary energy production (petajoules),0
Dominica,2000,Primary energy production (petajoules),0
Dominica,2005,Primary energy production (petajoules),0
Dominica,2010,Primary energy production (petajoules),0
Dominica,2013,Primary energy production (petajoules),0
Dominica,2014,Primary energy production (petajoules),0
Dominica,2015,Primary energy production (petajoules),0
Dominica,1990,Net imports [Imports - Exports - Bunkers] (petajoules),1
Dominica,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
Dominica,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
Dominica,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2
Dominica,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
Dominica,2013,Net imports [Imports - Exports - Bunkers] (petajoules),2
Dominica,2014,Net imports [Imports - Exports - Bunkers] (petajoules),2
Dominica,2015,Net imports [Imports - Exports - Bunkers] (petajoules),3
Dominica,1995,Changes in stocks (petajoules),0
Dominica,2010,Changes in stocks (petajoules),0
Dominica,2013,Changes in stocks (petajoules),0
Dominica,2014,Changes in stocks (petajoules),0
Dominica,2015,Changes in stocks (petajoules),0
Dominica,1990,Total supply (petajoules),1
Dominica,1995,Total supply (petajoules),1
Dominica,2000,Total supply (petajoules),2
Dominica,2005,Total supply (petajoules),2
Dominica,2010,Total supply (petajoules),2
Dominica,2013,Total supply (petajoules),2
Dominica,2014,Total supply (petajoules),2
Dominica,2015,Total supply (petajoules),3
Dominica,1990,Supply per capita (gigajoules),14
Dominica,1995,Supply per capita (gigajoules),19
Dominica,2000,Supply per capita (gigajoules),24
Dominica,2005,Supply per capita (gigajoules),31
Dominica,2010,Supply per capita (gigajoules),34
Dominica,2013,Supply per capita (gigajoules),33
Dominica,2014,Supply per capita (gigajoules),34
Dominica,2015,Supply per capita (gigajoules),37
Dominican Republic,1990,Primary energy production (petajoules),22
Dominican Republic,1995,Primary energy production (petajoules),24
Dominican Republic,2000,Primary energy production (petajoules),24
Dominican Republic,2005,Primary energy production (petajoules),28
Dominican Republic,2010,Primary energy production (petajoules),27
Dominican Republic,2013,Primary energy production (petajoules),29
Dominican Republic,2014,Primary energy production (petajoules),28
Dominican Republic,2015,Primary energy production (petajoules),25
Dominican Republic,1990,Net imports [Imports - Exports - Bunkers] (petajoules),122
Dominican Republic,1995,Net imports [Imports - Exports - Bunkers] (petajoules),212
Dominican Republic,2000,Net imports [Imports - Exports - Bunkers] (petajoules),259
Dominican Republic,2005,Net imports [Imports - Exports - Bunkers] (petajoules),239
Dominican Republic,2010,Net imports [Imports - Exports - Bunkers] (petajoules),271
Dominican Republic,2013,Net imports [Imports - Exports - Bunkers] (petajoules),277
Dominican Republic,2014,Net imports [Imports - Exports - Bunkers] (petajoules),272
Dominican Republic,2015,Net imports [Imports - Exports - Bunkers] (petajoules),302
Dominican Republic,1990,Changes in stocks (petajoules),1
Dominican Republic,1995,Changes in stocks (petajoules),0
Dominican Republic,2000,Changes in stocks (petajoules),0
Dominican Republic,2005,Changes in stocks (petajoules),2
Dominican Republic,2010,Changes in stocks (petajoules),0
Dominican Republic,2013,Changes in stocks (petajoules),-2
Dominican Republic,2014,Changes in stocks (petajoules),0
Dominican Republic,2015,Changes in stocks (petajoules),0
Dominican Republic,1990,Total supply (petajoules),143
Dominican Republic,1995,Total supply (petajoules),236
Dominican Republic,2000,Total supply (petajoules),283
Dominican Republic,2005,Total supply (petajoules),266
Dominican Republic,2010,Total supply (petajoules),298
Dominican Republic,2013,Total supply (petajoules),309
Dominican Republic,2014,Total supply (petajoules),301
Dominican Republic,2015,Total supply (petajoules),328
Dominican Republic,1990,Supply per capita (gigajoules),20
Dominican Republic,1995,Supply per capita (gigajoules),30
Dominican Republic,2000,Supply per capita (gigajoules),33
Dominican Republic,2005,Supply per capita (gigajoules),29
Dominican Republic,2010,Supply per capita (gigajoules),30
Dominican Republic,2013,Supply per capita (gigajoules),30
Dominican Republic,2014,Supply per capita (gigajoules),29
Dominican Republic,2015,Supply per capita (gigajoules),31
Ecuador,1990,Primary energy production (petajoules),683
Ecuador,1995,Primary energy production (petajoules),915
Ecuador,2000,Primary energy production (petajoules),959
Ecuador,2005,Primary energy production (petajoules),1251
Ecuador,2010,Primary energy production (petajoules),1077
Ecuador,2013,Primary energy production (petajoules),1249
Ecuador,2014,Primary energy production (petajoules),1324
Ecuador,2015,Primary energy production (petajoules),1297
Ecuador,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-428
Ecuador,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-577
Ecuador,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-612
Ecuador,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-772
Ecuador,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-513
Ecuador,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-635
Ecuador,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-649
Ecuador,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-641
Ecuador,1990,Changes in stocks (petajoules),0
Ecuador,2000,Changes in stocks (petajoules),20
Ecuador,2005,Changes in stocks (petajoules),4
Ecuador,2010,Changes in stocks (petajoules),2
Ecuador,2013,Changes in stocks (petajoules),2
Ecuador,2014,Changes in stocks (petajoules),-2
Ecuador,2015,Changes in stocks (petajoules),4
Ecuador,1990,Total supply (petajoules),255
Ecuador,1995,Total supply (petajoules),339
Ecuador,2000,Total supply (petajoules),328
Ecuador,2005,Total supply (petajoules),475
Ecuador,2010,Total supply (petajoules),562
Ecuador,2013,Total supply (petajoules),611
Ecuador,2014,Total supply (petajoules),677
Ecuador,2015,Total supply (petajoules),651
Ecuador,1990,Supply per capita (gigajoules),25
Ecuador,1995,Supply per capita (gigajoules),30
Ecuador,2000,Supply per capita (gigajoules),27
Ecuador,2005,Supply per capita (gigajoules),35
Ecuador,2010,Supply per capita (gigajoules),38
Ecuador,2013,Supply per capita (gigajoules),39
Ecuador,2014,Supply per capita (gigajoules),43
Ecuador,2015,Supply per capita (gigajoules),40
Egypt,1990,Primary energy production (petajoules),2376
Egypt,1995,Primary energy production (petajoules),2684
Egypt,2000,Primary energy production (petajoules),2773
Egypt,2005,Primary energy production (petajoules),3383
Egypt,2010,Primary energy production (petajoules),3692
Egypt,2013,Primary energy production (petajoules),3448
Egypt,2014,Primary energy production (petajoules),3240
Egypt,2015,Primary energy production (petajoules),3051
Egypt,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-1084
Egypt,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-709
Egypt,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-449
Egypt,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-645
Egypt,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-511
Egypt,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-10
Egypt,2014,Net imports [Imports - Exports - Bunkers] (petajoules),262
Egypt,2015,Net imports [Imports - Exports - Bunkers] (petajoules),405
Egypt,1990,Changes in stocks (petajoules),21
Egypt,1995,Changes in stocks (petajoules),369
Egypt,2000,Changes in stocks (petajoules),36
Egypt,2005,Changes in stocks (petajoules),-4
Egypt,2010,Changes in stocks (petajoules),-60
