Column1,Country,Year,Series,Value
"China, Hong Kong SAR2010","China, Hong Kong SAR",2010,Changes in stocks (petajoules),130
"China, Hong Kong SAR2013","China, Hong Kong SAR",2013,Changes in stocks (petajoules),6
"China, Hong Kong SAR2014","China, Hong Kong SAR",2014,Changes in stocks (petajoules),-10
"China, Hong Kong SAR2015","China, Hong Kong SAR",2015,Changes in stocks (petajoules),58
"China, Hong Kong SAR1990","China, Hong Kong SAR",1990,Total supply (petajoules),316
"China, Hong Kong SAR1995","China, Hong Kong SAR",1995,Total supply (petajoules),398
"China, Hong Kong SAR2000","China, Hong Kong SAR",2000,Total supply (petajoules),570
"China, Hong Kong SAR2005","China, Hong Kong SAR",2005,Total supply (petajoules),579
"China, Hong Kong SAR2010","China, Hong Kong SAR",2010,Total supply (petajoules),550
"China, Hong Kong SAR2013","China, Hong Kong SAR",2013,Total supply (petajoules),585
"China, Hong Kong SAR2014","China, Hong Kong SAR",2014,Total supply (petajoules),599
"China, Hong Kong SAR2015","China, Hong Kong SAR",2015,Total supply (petajoules),583
"China, Hong Kong SAR1990","China, Hong Kong SAR",1990,Supply per capita (gigajoules),54
"China, Hong Kong SAR1995","China, Hong Kong SAR",1995,Supply per capita (gigajoules),65
"China, Hong Kong SAR2000","China, Hong Kong SAR",2000,Supply per capita (gigajoules),84
"China, Hong Kong SAR2005","China, Hong Kong SAR",2005,Supply per capita (gigajoules),85
"China, Hong Kong SAR2010","China, Hong Kong SAR",2010,Supply per capita (gigajoules),79
"China, Hong Kong SAR2013","China, Hong Kong SAR",2013,Supply per capita (gigajoules),82
"China, Hong Kong SAR2014","China, Hong Kong SAR",2014,Supply per capita (gigajoules),83
"China, Hong Kong SAR2015","China, Hong Kong SAR",2015,Supply per capita (gigajoules),80
"China, Macao SAR2005","China, Macao SAR",2005,Primary energy production (petajoules),2
"China, Macao SAR2010","China, Macao SAR",2010,Primary energy production (petajoules),2
"China, Macao SAR2013","China, Macao SAR",2013,Primary energy production (petajoules),2
"China, Macao SAR2014","China, Macao SAR",2014,Primary energy production (petajoules),2
"China, Macao SAR2015","China, Macao SAR",2015,Primary energy production (petajoules),2
"China, Macao SAR1990","China, Macao SAR",1990,Net imports [Imports - Exports - Bunkers] (petajoules),15
"China, Macao SAR1995","China, Macao SAR",1995,Net imports [Imports - Exports - Bunkers] (petajoules),18
"China, Macao SAR2000","China, Macao SAR",2000,Net imports [Imports - Exports - Bunkers] (petajoules),23
"China, Macao SAR2005","China, Macao SAR",2005,Net imports [Imports - Exports - Bunkers] (petajoules),26
"China, Macao SAR2010","China, Macao SAR",2010,Net imports [Imports - Exports - Bunkers] (petajoules),29
"China, Macao SAR2013","China, Macao SAR",2013,Net imports [Imports - Exports - Bunkers] (petajoules),29
"China, Macao SAR2014","China, Macao SAR",2014,Net imports [Imports - Exports - Bunkers] (petajoules),31
"China, Macao SAR2015","China, Macao SAR",2015,Net imports [Imports - Exports - Bunkers] (petajoules),38
"China, Macao SAR1990","China, Macao SAR",1990,Changes in stocks (petajoules),0
"China, Macao SAR1995","China, Macao SAR",1995,Changes in stocks (petajoules),0
"China, Macao SAR2000","China, Macao SAR",2000,Changes in stocks (petajoules),0
"China, Macao SAR2005","China, Macao SAR",2005,Changes in stocks (petajoules),0
"China, Macao SAR2010","China, Macao SAR",2010,Changes in stocks (petajoules),0
"China, Macao SAR2013","China, Macao SAR",2013,Changes in stocks (petajoules),0
"China, Macao SAR2014","China, Macao SAR",2014,Changes in stocks (petajoules),0
"China, Macao SAR2015","China, Macao SAR",2015,Changes in stocks (petajoules),1
"China, Macao SAR1990","China, Macao SAR",1990,Total supply (petajoules),15
"China, Macao SAR1995","China, Macao SAR",1995,Total supply (petajoules),18
"China, Macao SAR2000","China, Macao SAR",2000,Total supply (petajoules),24
"China, Macao SAR2005","China, Macao SAR",2005,Total supply (petajoules),28
"China, Macao SAR2010","China, Macao SAR",2010,Total supply (petajoules),31
"China, Macao SAR2013","China, Macao SAR",2013,Total supply (petajoules),30
"China, Macao SAR2014","China, Macao SAR",2014,Total supply (petajoules),34
"China, Macao SAR2015","China, Macao SAR",2015,Total supply (petajoules),40
"China, Macao SAR1990","China, Macao SAR",1990,Supply per capita (gigajoules),40
"China, Macao SAR1995","China, Macao SAR",1995,Supply per capita (gigajoules),45
"China, Macao SAR2000","China, Macao SAR",2000,Supply per capita (gigajoules),55
"China, Macao SAR2005","China, Macao SAR",2005,Supply per capita (gigajoules),58
"China, Macao SAR2010","China, Macao SAR",2010,Supply per capita (gigajoules),57
"China, Macao SAR2013","China, Macao SAR",2013,Supply per capita (gigajoules),54
"China, Macao SAR2014","China, Macao SAR",2014,Supply per capita (gigajoules),58
"China, Macao SAR2015","China, Macao SAR",2015,Supply per capita (gigajoules),68
Colombia1990,Colombia,1990,Primary energy production (petajoules),1882
Colombia1995,Colombia,1995,Primary energy production (petajoules),2419
Colombia2000,Colombia,2000,Primary energy production (petajoules),3046
Colombia2005,Colombia,2005,Primary energy production (petajoules),3335
Colombia2010,Colombia,2010,Primary energy production (petajoules),4486
Colombia2013,Colombia,2013,Primary energy production (petajoules),5702
Colombia2014,Colombia,2014,Primary energy production (petajoules),5397
Colombia2015,Colombia,2015,Primary energy production (petajoules),5593
Colombia1990,Colombia,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-891
Colombia1995,Colombia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-1267
Colombia2000,Colombia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-1987
Colombia2005,Colombia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-2139
Colombia2010,Colombia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-3081
Colombia2013,Colombia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-4161
Colombia2014,Colombia,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-3751
Colombia2015,Colombia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-4157
Colombia1990,Colombia,1990,Changes in stocks (petajoules),7
Colombia1995,Colombia,1995,Changes in stocks (petajoules),48
Colombia2000,Colombia,2000,Changes in stocks (petajoules),-43
Colombia2005,Colombia,2005,Changes in stocks (petajoules),16
Colombia2010,Colombia,2010,Changes in stocks (petajoules),3
Colombia2013,Colombia,2013,Changes in stocks (petajoules),18
Colombia2014,Colombia,2014,Changes in stocks (petajoules),121
Colombia2015,Colombia,2015,Changes in stocks (petajoules),-38
Colombia1990,Colombia,1990,Total supply (petajoules),983
Colombia1995,Colombia,1995,Total supply (petajoules),1104
Colombia2000,Colombia,2000,Total supply (petajoules),1103
Colombia2005,Colombia,2005,Total supply (petajoules),1180
Colombia2010,Colombia,2010,Total supply (petajoules),1402
Colombia2013,Colombia,2013,Total supply (petajoules),1522
Colombia2014,Colombia,2014,Total supply (petajoules),1525
Colombia2015,Colombia,2015,Total supply (petajoules),1475
Colombia1990,Colombia,1990,Supply per capita (gigajoules),30
Colombia1995,Colombia,1995,Supply per capita (gigajoules),30
Colombia2000,Colombia,2000,Supply per capita (gigajoules),28
Colombia2005,Colombia,2005,Supply per capita (gigajoules),27
Colombia2010,Colombia,2010,Supply per capita (gigajoules),31
Colombia2013,Colombia,2013,Supply per capita (gigajoules),32
Colombia2014,Colombia,2014,Supply per capita (gigajoules),32
Colombia2015,Colombia,2015,Supply per capita (gigajoules),31
Comoros1990,Comoros,1990,Primary energy production (petajoules),1
Comoros1995,Comoros,1995,Primary energy production (petajoules),2
Comoros2000,Comoros,2000,Primary energy production (petajoules),2
Comoros2005,Comoros,2005,Primary energy production (petajoules),2
Comoros2010,Comoros,2010,Primary energy production (petajoules),2
Comoros2013,Comoros,2013,Primary energy production (petajoules),3
Comoros2014,Comoros,2014,Primary energy production (petajoules),3
Comoros2015,Comoros,2015,Primary energy production (petajoules),3
Comoros1990,Comoros,1990,Net imports [Imports - Exports - Bunkers] (petajoules),1
Comoros1995,Comoros,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
Comoros2000,Comoros,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
Comoros2005,Comoros,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2
Comoros2010,Comoros,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
Comoros2013,Comoros,2013,Net imports [Imports - Exports - Bunkers] (petajoules),3
Comoros2014,Comoros,2014,Net imports [Imports - Exports - Bunkers] (petajoules),2
Comoros2015,Comoros,2015,Net imports [Imports - Exports - Bunkers] (petajoules),3
Comoros1990,Comoros,1990,Total supply (petajoules),2
Comoros1995,Comoros,1995,Total supply (petajoules),3
Comoros2000,Comoros,2000,Total supply (petajoules),3
Comoros2005,Comoros,2005,Total supply (petajoules),4
Comoros2010,Comoros,2010,Total supply (petajoules),5
Comoros2013,Comoros,2013,Total supply (petajoules),5
Comoros2014,Comoros,2014,Total supply (petajoules),5
Comoros2015,Comoros,2015,Total supply (petajoules),5
Comoros1990,Comoros,1990,Supply per capita (gigajoules),5
Comoros1995,Comoros,1995,Supply per capita (gigajoules),6
Comoros2000,Comoros,2000,Supply per capita (gigajoules),6
Comoros2005,Comoros,2005,Supply per capita (gigajoules),6
Comoros2010,Comoros,2010,Supply per capita (gigajoules),7
Comoros2013,Comoros,2013,Supply per capita (gigajoules),7
Comoros2014,Comoros,2014,Supply per capita (gigajoules),6
Comoros2015,Comoros,2015,Supply per capita (gigajoules),7
Congo1990,Congo,1990,Primary energy production (petajoules),361
Congo1995,Congo,1995,Primary energy production (petajoules),419
Congo2000,Congo,2000,Primary energy production (petajoules),609
Congo2005,Congo,2005,Primary energy production (petajoules),563
Congo2010,Congo,2010,Primary energy production (petajoules),724
Congo2013,Congo,2013,Primary energy production (petajoules),612
Congo2014,Congo,2014,Primary energy production (petajoules),648
Congo2015,Congo,2015,Primary energy production (petajoules),623
Congo1990,Congo,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-325
Congo1995,Congo,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-375
Congo2000,Congo,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-569
Congo2005,Congo,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-519
Congo2010,Congo,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-649
Congo2013,Congo,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-516
Congo2014,Congo,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-525
Congo2015,Congo,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-512
Congo1990,Congo,1990,Changes in stocks (petajoules),0
Congo1995,Congo,1995,Changes in stocks (petajoules),0
Congo2005,Congo,2005,Changes in stocks (petajoules),0
Congo2010,Congo,2010,Changes in stocks (petajoules),6
Congo2013,Congo,2013,Changes in stocks (petajoules),-12
Congo2014,Congo,2014,Changes in stocks (petajoules),14
Congo1990,Congo,1990,Total supply (petajoules),36
Congo1995,Congo,1995,Total supply (petajoules),44
Congo2000,Congo,2000,Total supply (petajoules),40
Congo2005,Congo,2005,Total supply (petajoules),45
Congo2010,Congo,2010,Total supply (petajoules),70
Congo2013,Congo,2013,Total supply (petajoules),109
Congo2014,Congo,2014,Total supply (petajoules),109
Congo2015,Congo,2015,Total supply (petajoules),111
Congo1990,Congo,1990,Supply per capita (gigajoules),15
Congo1995,Congo,1995,Supply per capita (gigajoules),16
Congo2000,Congo,2000,Supply per capita (gigajoules),13
Congo2005,Congo,2005,Supply per capita (gigajoules),13
Congo2010,Congo,2010,Supply per capita (gigajoules),17
Congo2013,Congo,2013,Supply per capita (gigajoules),25
Congo2014,Congo,2014,Supply per capita (gigajoules),24
Congo2015,Congo,2015,Supply per capita (gigajoules),24
Cook Islands2013,Cook Islands,2013,Primary energy production (petajoules),0
Cook Islands2014,Cook Islands,2014,Primary energy production (petajoules),0
Cook Islands2015,Cook Islands,2015,Primary energy production (petajoules),0
Cook Islands1990,Cook Islands,1990,Net imports [Imports - Exports - Bunkers] (petajoules),1
Cook Islands1995,Cook Islands,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
Cook Islands2000,Cook Islands,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
Cook Islands2005,Cook Islands,2005,Net imports [Imports - Exports - Bunkers] (petajoules),1
Cook Islands2010,Cook Islands,2010,Net imports [Imports - Exports - Bunkers] (petajoules),1
Cook Islands2013,Cook Islands,2013,Net imports [Imports - Exports - Bunkers] (petajoules),1
Cook Islands2014,Cook Islands,2014,Net imports [Imports - Exports - Bunkers] (petajoules),1
Cook Islands2015,Cook Islands,2015,Net imports [Imports - Exports - Bunkers] (petajoules),1
Cook Islands1990,Cook Islands,1990,Total supply (petajoules),0
Cook Islands1995,Cook Islands,1995,Total supply (petajoules),1
Cook Islands2000,Cook Islands,2000,Total supply (petajoules),1
Cook Islands2005,Cook Islands,2005,Total supply (petajoules),1
Cook Islands2010,Cook Islands,2010,Total supply (petajoules),1
Cook Islands2013,Cook Islands,2013,Total supply (petajoules),1
Cook Islands2014,Cook Islands,2014,Total supply (petajoules),1
Cook Islands2015,Cook Islands,2015,Total supply (petajoules),1
Cook Islands1990,Cook Islands,1990,Supply per capita (gigajoules),28
Cook Islands1995,Cook Islands,1995,Supply per capita (gigajoules),30
Cook Islands2000,Cook Islands,2000,Supply per capita (gigajoules),36
Cook Islands2005,Cook Islands,2005,Supply per capita (gigajoules),39
Cook Islands2010,Cook Islands,2010,Supply per capita (gigajoules),36
Cook Islands2013,Cook Islands,2013,Supply per capita (gigajoules),42
Cook Islands2014,Cook Islands,2014,Supply per capita (gigajoules),44
Cook Islands2015,Cook Islands,2015,Supply per capita (gigajoules),41
Costa Rica1990,Costa Rica,1990,Primary energy production (petajoules),30
Costa Rica1995,Costa Rica,1995,Primary energy production (petajoules),46
Costa Rica2000,Costa Rica,2000,Primary energy production (petajoules),67
Costa Rica2005,Costa Rica,2005,Primary energy production (petajoules),93
Costa Rica2010,Costa Rica,2010,Primary energy production (petajoules),104
Costa Rica2013,Costa Rica,2013,Primary energy production (petajoules),110
Costa Rica2014,Costa Rica,2014,Primary energy production (petajoules),110
Costa Rica2015,Costa Rica,2015,Primary energy production (petajoules),110
Costa Rica1990,Costa Rica,1990,Net imports [Imports - Exports - Bunkers] (petajoules),40
Costa Rica1995,Costa Rica,1995,Net imports [Imports - Exports - Bunkers] (petajoules),65
Costa Rica2000,Costa Rica,2000,Net imports [Imports - Exports - Bunkers] (petajoules),70
Costa Rica2005,Costa Rica,2005,Net imports [Imports - Exports - Bunkers] (petajoules),85
Costa Rica2010,Costa Rica,2010,Net imports [Imports - Exports - Bunkers] (petajoules),99
Costa Rica2013,Costa Rica,2013,Net imports [Imports - Exports - Bunkers] (petajoules),97
Costa Rica2014,Costa Rica,2014,Net imports [Imports - Exports - Bunkers] (petajoules),103
Costa Rica2015,Costa Rica,2015,Net imports [Imports - Exports - Bunkers] (petajoules),97
Costa Rica1990,Costa Rica,1990,Changes in stocks (petajoules),1
Costa Rica1995,Costa Rica,1995,Changes in stocks (petajoules),0
Costa Rica2000,Costa Rica,2000,Changes in stocks (petajoules),-1
Costa Rica2005,Costa Rica,2005,Changes in stocks (petajoules),0
Costa Rica2010,Costa Rica,2010,Changes in stocks (petajoules),0
Costa Rica2013,Costa Rica,2013,Changes in stocks (petajoules),-2
Costa Rica2014,Costa Rica,2014,Changes in stocks (petajoules),1
Costa Rica2015,Costa Rica,2015,Changes in stocks (petajoules),0
Costa Rica1990,Costa Rica,1990,Total supply (petajoules),68
Costa Rica1995,Costa Rica,1995,Total supply (petajoules),110
Costa Rica2000,Costa Rica,2000,Total supply (petajoules),137
Costa Rica2005,Costa Rica,2005,Total supply (petajoules),177
Costa Rica2010,Costa Rica,2010,Total supply (petajoules),203
Costa Rica2013,Costa Rica,2013,Total supply (petajoules),210
Costa Rica2014,Costa Rica,2014,Total supply (petajoules),213
Costa Rica2015,Costa Rica,2015,Total supply (petajoules),207
Costa Rica1990,Costa Rica,1990,Supply per capita (gigajoules),22
Costa Rica1995,Costa Rica,1995,Supply per capita (gigajoules),32
Costa Rica2000,Costa Rica,2000,Supply per capita (gigajoules),35
Costa Rica2005,Costa Rica,2005,Supply per capita (gigajoules),41
Costa Rica2010,Costa Rica,2010,Supply per capita (gigajoules),45
Costa Rica2013,Costa Rica,2013,Supply per capita (gigajoules),45
Costa Rica2014,Costa Rica,2014,Supply per capita (gigajoules),45
Costa Rica2015,Costa Rica,2015,Supply per capita (gigajoules),43
C?te d?Ivoire1990,C?te d?Ivoire,1990,Primary energy production (petajoules),179
C?te d?Ivoire1995,C?te d?Ivoire,1995,Primary energy production (petajoules),178
C?te d?Ivoire2000,C?te d?Ivoire,2000,Primary energy production (petajoules),242
C?te d?Ivoire2005,C?te d?Ivoire,2005,Primary energy production (petajoules),451
C?te d?Ivoire2010,C?te d?Ivoire,2010,Primary energy production (petajoules),467
C?te d?Ivoire2013,C?te d?Ivoire,2013,Primary energy production (petajoules),540
C?te d?Ivoire2014,C?te d?Ivoire,2014,Primary energy production (petajoules),540
C?te d?Ivoire2015,C?te d?Ivoire,2015,Primary energy production (petajoules),526
C?te d?Ivoire1990,C?te d?Ivoire,1990,Net imports [Imports - Exports - Bunkers] (petajoules),26
C?te d?Ivoire1995,C?te d?Ivoire,1995,Net imports [Imports - Exports - Bunkers] (petajoules),68
C?te d?Ivoire2000,C?te d?Ivoire,2000,Net imports [Imports - Exports - Bunkers] (petajoules),28
C?te d?Ivoire2005,C?te d?Ivoire,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-27
C?te d?Ivoire2010,C?te d?Ivoire,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-40
C?te d?Ivoire2013,C?te d?Ivoire,2013,Net imports [Imports - Exports - Bunkers] (petajoules),24
C?te d?Ivoire2014,C?te d?Ivoire,2014,Net imports [Imports - Exports - Bunkers] (petajoules),38
C?te d?Ivoire2015,C?te d?Ivoire,2015,Net imports [Imports - Exports - Bunkers] (petajoules),10
C?te d?Ivoire1990,C?te d?Ivoire,1990,Changes in stocks (petajoules),1
C?te d?Ivoire1995,C?te d?Ivoire,1995,Changes in stocks (petajoules),0
C?te d?Ivoire2000,C?te d?Ivoire,2000,Changes in stocks (petajoules),-8
C?te d?Ivoire2005,C?te d?Ivoire,2005,Changes in stocks (petajoules),5
C?te d?Ivoire2010,C?te d?Ivoire,2010,Changes in stocks (petajoules),3
C?te d?Ivoire2013,C?te d?Ivoire,2013,Changes in stocks (petajoules),-2
C?te d?Ivoire2014,C?te d?Ivoire,2014,Changes in stocks (petajoules),-3
C?te d?Ivoire2015,C?te d?Ivoire,2015,Changes in stocks (petajoules),-6
C?te d?Ivoire1990,C?te d?Ivoire,1990,Total supply (petajoules),204
C?te d?Ivoire1995,C?te d?Ivoire,1995,Total supply (petajoules),245
C?te d?Ivoire2000,C?te d?Ivoire,2000,Total supply (petajoules),278
C?te d?Ivoire2005,C?te d?Ivoire,2005,Total supply (petajoules),418
C?te d?Ivoire2010,C?te d?Ivoire,2010,Total supply (petajoules),425
C?te d?Ivoire2013,C?te d?Ivoire,2013,Total supply (petajoules),566
C?te d?Ivoire2014,C?te d?Ivoire,2014,Total supply (petajoules),580
C?te d?Ivoire2015,C?te d?Ivoire,2015,Total supply (petajoules),543
C?te d?Ivoire1990,C?te d?Ivoire,1990,Supply per capita (gigajoules),16
C?te d?Ivoire1995,C?te d?Ivoire,1995,Supply per capita (gigajoules),17
C?te d?Ivoire2000,C?te d?Ivoire,2000,Supply per capita (gigajoules),17
C?te d?Ivoire2005,C?te d?Ivoire,2005,Supply per capita (gigajoules),23
C?te d?Ivoire2010,C?te d?Ivoire,2010,Supply per capita (gigajoules),21
C?te d?Ivoire2013,C?te d?Ivoire,2013,Supply per capita (gigajoules),26
C?te d?Ivoire2014,C?te d?Ivoire,2014,Supply per capita (gigajoules),26
C?te d?Ivoire2015,C?te d?Ivoire,2015,Supply per capita (gigajoules),24
Croatia1995,Croatia,1995,Primary energy production (petajoules),209
Croatia2000,Croatia,2000,Primary energy production (petajoules),178
Croatia2005,Croatia,2005,Primary energy production (petajoules),199
Croatia2010,Croatia,2010,Primary energy production (petajoules),215
Croatia2013,Croatia,2013,Primary energy production (petajoules),186
Croatia2014,Croatia,2014,Primary energy production (petajoules),182
Croatia2015,Croatia,2015,Primary energy production (petajoules),184
Croatia1995,Croatia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),115
Croatia2000,Croatia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),166
Croatia2005,Croatia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),212
Croatia2010,Croatia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),180
Croatia2013,Croatia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),164
Croatia2014,Croatia,2014,Net imports [Imports - Exports - Bunkers] (petajoules),146
Croatia2015,Croatia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),168
Croatia1995,Croatia,1995,Changes in stocks (petajoules),-2
Croatia2000,Croatia,2000,Changes in stocks (petajoules),-4
Croatia2005,Croatia,2005,Changes in stocks (petajoules),4
Croatia2010,Croatia,2010,Changes in stocks (petajoules),5
Croatia2013,Croatia,2013,Changes in stocks (petajoules),-2
Croatia2014,Croatia,2014,Changes in stocks (petajoules),-8
Croatia2015,Croatia,2015,Changes in stocks (petajoules),2
Croatia1995,Croatia,1995,Total supply (petajoules),325
Croatia2000,Croatia,2000,Total supply (petajoules),349
Croatia2005,Croatia,2005,Total supply (petajoules),407
Croatia2010,Croatia,2010,Total supply (petajoules),390
Croatia2013,Croatia,2013,Total supply (petajoules),352
Croatia2014,Croatia,2014,Total supply (petajoules),335
Croatia2015,Croatia,2015,Total supply (petajoules),350
Croatia1995,Croatia,1995,Supply per capita (gigajoules),70
Croatia2000,Croatia,2000,Supply per capita (gigajoules),77
Croatia2005,Croatia,2005,Supply per capita (gigajoules),92
Croatia2010,Croatia,2010,Supply per capita (gigajoules),90
Croatia2013,Croatia,2013,Supply per capita (gigajoules),82
Croatia2014,Croatia,2014,Supply per capita (gigajoules),79
Croatia2015,Croatia,2015,Supply per capita (gigajoules),83
Cuba1990,Cuba,1990,Primary energy production (petajoules),213
Cuba1995,Cuba,1995,Primary energy production (petajoules),170
Cuba2000,Cuba,2000,Primary energy production (petajoules),241
Cuba2005,Cuba,2005,Primary energy production (petajoules),205
Cuba2010,Cuba,2010,Primary energy production (petajoules),200
Cuba2013,Cuba,2013,Primary energy production (petajoules),202
Cuba2014,Cuba,2014,Primary energy production (petajoules),212
Cuba2015,Cuba,2015,Primary energy production (petajoules),212
Cuba1990,Cuba,1990,Net imports [Imports - Exports - Bunkers] (petajoules),404
Cuba1995,Cuba,1995,Net imports [Imports - Exports - Bunkers] (petajoules),286
Cuba2000,Cuba,2000,Net imports [Imports - Exports - Bunkers] (petajoules),232
Cuba2005,Cuba,2005,Net imports [Imports - Exports - Bunkers] (petajoules),207
Cuba2010,Cuba,2010,Net imports [Imports - Exports - Bunkers] (petajoules),301
Cuba2013,Cuba,2013,Net imports [Imports - Exports - Bunkers] (petajoules),250
Cuba2014,Cuba,2014,Net imports [Imports - Exports - Bunkers] (petajoules),243
Cuba2015,Cuba,2015,Net imports [Imports - Exports - Bunkers] (petajoules),268
Cuba1990,Cuba,1990,Changes in stocks (petajoules),-5
Cuba1995,Cuba,1995,Changes in stocks (petajoules),4
Cuba2000,Cuba,2000,Changes in stocks (petajoules),10
Cuba1990,Cuba,1990,Total supply (petajoules),623
Cuba1995,Cuba,1995,Total supply (petajoules),452
Cuba2000,Cuba,2000,Total supply (petajoules),462
Cuba2005,Cuba,2005,Total supply (petajoules),412
Cuba2010,Cuba,2010,Total supply (petajoules),501
Cuba2013,Cuba,2013,Total supply (petajoules),451
Cuba2014,Cuba,2014,Total supply (petajoules),454
Cuba2015,Cuba,2015,Total supply (petajoules),480
Cuba1990,Cuba,1990,Supply per capita (gigajoules),59
Cuba1995,Cuba,1995,Supply per capita (gigajoules),41
Cuba2000,Cuba,2000,Supply per capita (gigajoules),42
Cuba2005,Cuba,2005,Supply per capita (gigajoules),37
Cuba2010,Cuba,2010,Supply per capita (gigajoules),44
Cuba2013,Cuba,2013,Supply per capita (gigajoules),40
Cuba2014,Cuba,2014,Supply per capita (gigajoules),40
Cuba2015,Cuba,2015,Supply per capita (gigajoules),42
Cura?ao2013,Cura?ao,2013,Primary energy production (petajoules),0
Cura?ao2014,Cura?ao,2014,Primary energy production (petajoules),0
Cura?ao2015,Cura?ao,2015,Primary energy production (petajoules),0
Cura?ao2013,Cura?ao,2013,Net imports [Imports - Exports - Bunkers] (petajoules),77
Cura?ao2014,Cura?ao,2014,Net imports [Imports - Exports - Bunkers] (petajoules),85
Cura?ao2015,Cura?ao,2015,Net imports [Imports - Exports - Bunkers] (petajoules),93
Cura?ao2013,Cura?ao,2013,Total supply (petajoules),77
Cura?ao2014,Cura?ao,2014,Total supply (petajoules),85
Cura?ao2015,Cura?ao,2015,Total supply (petajoules),93
Cura?ao2013,Cura?ao,2013,Supply per capita (gigajoules),499
Cura?ao2014,Cura?ao,2014,Supply per capita (gigajoules),545
Cura?ao2015,Cura?ao,2015,Supply per capita (gigajoules),592
Cyprus1990,Cyprus,1990,Primary energy production (petajoules),0
Cyprus1995,Cyprus,1995,Primary energy production (petajoules),0
Cyprus2000,Cyprus,2000,Primary energy production (petajoules),0
Cyprus2005,Cyprus,2005,Primary energy production (petajoules),0
Cyprus2010,Cyprus,2010,Primary energy production (petajoules),4
Cyprus2013,Cyprus,2013,Primary energy production (petajoules),5
Cyprus2014,Cyprus,2014,Primary energy production (petajoules),5
Cyprus2015,Cyprus,2015,Primary energy production (petajoules),5
Cyprus1990,Cyprus,1990,Net imports [Imports - Exports - Bunkers] (petajoules),57
Cyprus1995,Cyprus,1995,Net imports [Imports - Exports - Bunkers] (petajoules),72
Cyprus2000,Cyprus,2000,Net imports [Imports - Exports - Bunkers] (petajoules),88
Cyprus2005,Cyprus,2005,Net imports [Imports - Exports - Bunkers] (petajoules),94
Cyprus2010,Cyprus,2010,Net imports [Imports - Exports - Bunkers] (petajoules),104
Cyprus2013,Cyprus,2013,Net imports [Imports - Exports - Bunkers] (petajoules),78
Cyprus2014,Cyprus,2014,Net imports [Imports - Exports - Bunkers] (petajoules),76
Cyprus2015,Cyprus,2015,Net imports [Imports - Exports - Bunkers] (petajoules),83
Cyprus1990,Cyprus,1990,Changes in stocks (petajoules),-1
Cyprus1995,Cyprus,1995,Changes in stocks (petajoules),2
Cyprus2000,Cyprus,2000,Changes in stocks (petajoules),0
Cyprus2005,Cyprus,2005,Changes in stocks (petajoules),3
Cyprus2010,Cyprus,2010,Changes in stocks (petajoules),5
Cyprus2013,Cyprus,2013,Changes in stocks (petajoules),1
Cyprus2014,Cyprus,2014,Changes in stocks (petajoules),-2
Cyprus2015,Cyprus,2015,Changes in stocks (petajoules),3
Cyprus1990,Cyprus,1990,Total supply (petajoules),57
Cyprus1995,Cyprus,1995,Total supply (petajoules),70
Cyprus2000,Cyprus,2000,Total supply (petajoules),88
Cyprus2005,Cyprus,2005,Total supply (petajoules),92
Cyprus2010,Cyprus,2010,Total supply (petajoules),103
Cyprus2013,Cyprus,2013,Total supply (petajoules),82
Cyprus2014,Cyprus,2014,Total supply (petajoules),83
Cyprus2015,Cyprus,2015,Total supply (petajoules),85
Cyprus1990,Cyprus,1990,Supply per capita (gigajoules),75
Cyprus1995,Cyprus,1995,Supply per capita (gigajoules),82
Cyprus2000,Cyprus,2000,Supply per capita (gigajoules),93
Cyprus2005,Cyprus,2005,Supply per capita (gigajoules),89
Cyprus2010,Cyprus,2010,Supply per capita (gigajoules),94
Cyprus2013,Cyprus,2013,Supply per capita (gigajoules),71
Cyprus2014,Cyprus,2014,Supply per capita (gigajoules),72
